,locality,Locality Latitude,Locality Longitude,French Restaurant,Indian Restaurant,Italian Restaurant,New American Restaurant,Tapas Restaurant,count rest. nationality
0,Arnos Vale,51.442993736842105,-2.564195684210526,0.0,1.0,0.0,0.0,0.0,1
1,Ashton Gate,51.441539000000006,-2.6183325,0.0,0.0,0.0,0.0,1.0,0
2,Bristol,51.459642637334426,-2.59351473159462,0.42857142857142855,0.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,3
3,Clifton,51.45935165909091,-2.614886221590909,0.5,0.0,0.0,0.0,0.5,1
4,Clifton Wood,51.4510975,-2.6097115000000004,0.2857142857142857,0.0,0.0,0.14285714285714285,0.5714285714285714,2
5,Cotham,51.466995714285716,-2.596374071428571,0.0,0.0,0.0,0.0,1.0,0
6,Hotwells,51.449275,-2.618631,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,1
7,Kingsdown,51.461792083333336,-2.596508416666667,0.375,0.0,0.125,0.125,0.375,3
8,Knowle,51.432241000000005,-2.571715407407408,0.0,1.0,0.0,0.0,0.0,1
9,Montpelier,51.46786662962962,-2.5854882962962966,0.0,0.0,0.0,0.0,1.0,0
10,Pylle Hill,51.446858666666664,-2.581248,0.0,1.0,0.0,0.0,0.0,1
11,Redcliffe,51.448510785714284,-2.5876415000000006,0.2857142857142857,0.0,0.14285714285714285,0.14285714285714285,0.42857142857142855,3
12,Redland,51.47012566666667,-2.606286883333333,0.0,0.0,0.0,0.0,1.0,0
13,Saint Agnes,51.46643666666666,-2.5781423333333335,0.0,0.0,0.0,0.0,1.0,0
14,Saint Andrews,51.4712805,-2.588771666666667,0.0,0.0,0.0,0.0,1.0,0
15,Saint Augustines,51.454313,-2.599025,0.375,0.0,0.125,0.125,0.375,3
16,Saint James,51.460284333333334,-2.5947183333333332,0.42857142857142855,0.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,3
17,Saint Judes,51.459824000000005,-2.579508,0.5,0.0,0.25,0.0,0.25,2
18,Saint Pauls,51.4630844,-2.581562266666667,0.5,0.0,0.25,0.0,0.25,2
19,Southville,51.444152392156866,-2.5987807254901965,0.0,0.0,0.0,0.0,1.0,0
20,Temple Meads,51.448915,-2.5818375000000002,0.5,0.0,0.5,0.0,0.0,2
21,Totterdown,51.442449374999995,-2.5779246562499996,0.0,1.0,0.0,0.0,0.0,1
22,Tyndalls Park,51.45812014285715,-2.6068331428571425,0.25,0.0,0.0,0.25,0.5,2
