,French Restaurant,Indian Restaurant,Italian Restaurant,New American Restaurant
0,False,True,False,False
1,False,False,False,False
2,True,False,True,True
3,True,False,False,False
4,True,False,False,True
5,False,False,False,False
6,True,False,False,False
7,True,False,True,True
8,False,True,False,False
9,False,False,False,False
10,False,True,False,False
11,True,False,True,True
12,False,False,False,False
13,False,False,False,False
14,False,False,False,False
15,True,False,True,True
16,True,False,True,True
17,True,False,True,False
18,True,False,True,False
19,False,False,False,False
20,True,False,True,False
21,False,True,False,False
22,True,False,False,True
