,locality,Locality Latitude,Locality Longitude
0,Arnos Vale,51.442993736842105,-2.564195684210526
1,Brislington,51.43801799999999,-2.5501815
2,Bristol,51.459642637334426,-2.59351473159462
3,Knowle,51.432241000000005,-2.571715407407408
4,Pylle Hill,51.446858666666664,-2.581248
5,Totterdown,51.442449374999995,-2.5779246562499996
6,Ashley Down,51.48013775,-2.579243375
7,Bishopston,51.47624394029852,-2.591481432835821
8,Horfield,51.490636277777774,-2.579773388888889
9,Saint Andrews,51.4712805,-2.588771666666667
10,Ashton,51.432773,-2.613028
11,Ashton Gate,51.441539000000006,-2.6183325
12,Bedminster,51.437580869918705,-2.6027019268292686
13,Chittening,51.527324500000006,-2.6835850000000003
14,Kingsweston,51.494215800000006,-2.6584342
15,Lawrence Weston,51.50183933333333,-2.6531077499999998
16,Shirehampton,51.48885449152542,-2.6783064915254235
17,Avonmouth,51.50577630769231,-2.6952672307692307
18,Avon Valley Business Park,51.451794500000005,-2.545846
19,Saint Annes,51.4499225,-2.5481765
20,Saint Annes Park,51.451859891891885,-2.5409908648648654
21,Baptist Mills,51.467603000000004,-2.5756330000000003
22,Saint Agnes,51.46643666666666,-2.5781423333333335
23,Saint Judes,51.459824000000005,-2.579508
24,Saint Pauls,51.4630844,-2.581562266666667
25,Saint Werburghs,51.470986874999994,-2.5731903750000003
26,Barton Hill,51.45542486956522,-2.5621548695652177
27,Easton,51.46498264285715,-2.566044261904762
28,Lawrence Hill,51.45759266666666,-2.564266083333333
29,Redfield,51.48771025641025,-2.530738512820513
30,Saint George,51.458130691358015,-2.5385552469135804
31,Whitehall,51.46372641176471,-2.5520087058823533
32,Southville,51.444152392156866,-2.5987807254901965
33,Bedminster Down,51.42123266666667,-2.623209333333333
34,Bishopsworth,51.4123810925926,-2.6194850555555553
35,Brentry,51.51056596153846,-2.6044688076923075
36,Westbury-on-Trym,51.494664746478875,-2.6111856901408452
37,Southmead,51.499602100000004,-2.5959817000000003
38,Henbury,51.50879870731708,-2.619574219512195
39,Hawkfield Business Park,51.411909,-2.5935968
40,Hengrove Park,51.410990000000005,-2.584943
41,Stockwood,51.41472,-2.54434
42,Hengrove,51.4179688,-2.5656968
43,Saint Augustines,51.454313,-2.599025
44,Stapleton,51.48816456603774,-2.5475081698113207
45,Fishponds,51.50432711304347,-2.5625655478260865
46,Redcliffe,51.448510785714284,-2.5876415000000006
47,Temple Meads,51.448915,-2.5818375000000002
48,Saint Philips,51.4514213877551,-2.574438408163265
49,Saint Philips Marsh,51.448137,-2.568121
50,Kingsdown,51.461792083333336,-2.596508416666667
51,Saint James,51.460284333333334,-2.5947183333333332
52,Eastville,51.47328049019608,-2.558788843137255
53,Greenbank,51.468823333333326,-2.557363333333333
54,Clay Hill,51.47054533333333,-2.5431519999999996
55,Speedwell,51.46756323076924,-2.534427461538461
56,Cotham,51.466995714285716,-2.596374071428571
57,Montpelier,51.46786662962962,-2.5854882962962966
58,Durdham Park,51.473739,-2.615622
59,Redland,51.47012566666667,-2.606286883333333
60,Westbury Park,51.47994919999999,-2.6093444333333338
61,Clifton,51.45935165909091,-2.614886221590909
62,Tyndalls Park,51.45812014285715,-2.6068331428571425
63,Clifton Wood,51.4510975,-2.6097115000000004
64,Hotwells,51.449275,-2.618631
65,Sneyd Park,51.472717,-2.633919
66,Stoke Bishop,51.47691345454544,-2.6313549545454546
67,Coombe Dingle,51.495612900000005,-2.6424288999999996
68,Sea Mills,51.48834925,-2.6487575000000003
69,Henleaze,51.488430136363625,-2.603974772727273
