,French Restaurant,Indian Restaurant,Italian Restaurant,New American Restaurant,Tapas Restaurant,locality,Locality Latitude,Locality Longitude
0,0,1,0,0,0,Arnos Vale,51.442993736842105,-2.564195684210526
1,0,0,0,0,1,Bristol,51.459642637334426,-2.59351473159462
2,1,0,0,0,0,Bristol,51.459642637334426,-2.59351473159462
3,1,0,0,0,0,Bristol,51.459642637334426,-2.59351473159462
4,0,0,0,0,1,Bristol,51.459642637334426,-2.59351473159462
5,0,0,1,0,0,Bristol,51.459642637334426,-2.59351473159462
6,0,0,0,1,0,Bristol,51.459642637334426,-2.59351473159462
7,1,0,0,0,0,Bristol,51.459642637334426,-2.59351473159462
8,0,1,0,0,0,Knowle,51.432241000000005,-2.571715407407408
9,0,1,0,0,0,Pylle Hill,51.446858666666664,-2.581248
10,0,1,0,0,0,Totterdown,51.442449374999995,-2.5779246562499996
11,0,0,0,0,1,Saint Andrews,51.4712805,-2.588771666666667
12,0,0,0,0,1,Ashton Gate,51.441539000000006,-2.6183325
13,0,0,0,0,1,Saint Agnes,51.46643666666666,-2.5781423333333335
14,1,0,0,0,0,Saint Judes,51.459824000000005,-2.579508
15,1,0,0,0,0,Saint Judes,51.459824000000005,-2.579508
16,0,0,0,0,1,Saint Judes,51.459824000000005,-2.579508
17,0,0,1,0,0,Saint Judes,51.459824000000005,-2.579508
18,0,0,0,0,1,Saint Pauls,51.4630844,-2.581562266666667
19,1,0,0,0,0,Saint Pauls,51.4630844,-2.581562266666667
20,1,0,0,0,0,Saint Pauls,51.4630844,-2.581562266666667
21,0,0,1,0,0,Saint Pauls,51.4630844,-2.581562266666667
22,0,0,0,0,1,Southville,51.444152392156866,-2.5987807254901965
23,0,0,0,0,1,Southville,51.444152392156866,-2.5987807254901965
24,0,0,0,0,1,Saint Augustines,51.454313,-2.599025
25,1,0,0,0,0,Saint Augustines,51.454313,-2.599025
26,1,0,0,0,0,Saint Augustines,51.454313,-2.599025
27,0,0,0,0,1,Saint Augustines,51.454313,-2.599025
28,0,0,0,0,1,Saint Augustines,51.454313,-2.599025
29,0,0,0,1,0,Saint Augustines,51.454313,-2.599025
30,0,0,1,0,0,Saint Augustines,51.454313,-2.599025
31,1,0,0,0,0,Saint Augustines,51.454313,-2.599025
32,1,0,0,0,0,Redcliffe,51.448510785714284,-2.5876415000000006
33,1,0,0,0,0,Redcliffe,51.448510785714284,-2.5876415000000006
34,0,0,0,0,1,Redcliffe,51.448510785714284,-2.5876415000000006
35,0,0,0,0,1,Redcliffe,51.448510785714284,-2.5876415000000006
36,0,0,0,0,1,Redcliffe,51.448510785714284,-2.5876415000000006
37,0,0,1,0,0,Redcliffe,51.448510785714284,-2.5876415000000006
38,0,0,0,1,0,Redcliffe,51.448510785714284,-2.5876415000000006
39,1,0,0,0,0,Temple Meads,51.448915,-2.5818375000000002
40,0,0,1,0,0,Temple Meads,51.448915,-2.5818375000000002
41,0,0,0,0,1,Kingsdown,51.461792083333336,-2.596508416666667
42,1,0,0,0,0,Kingsdown,51.461792083333336,-2.596508416666667
43,0,0,0,0,1,Kingsdown,51.461792083333336,-2.596508416666667
44,1,0,0,0,0,Kingsdown,51.461792083333336,-2.596508416666667
45,0,0,0,0,1,Kingsdown,51.461792083333336,-2.596508416666667
46,0,0,1,0,0,Kingsdown,51.461792083333336,-2.596508416666667
47,0,0,0,1,0,Kingsdown,51.461792083333336,-2.596508416666667
48,1,0,0,0,0,Kingsdown,51.461792083333336,-2.596508416666667
49,0,0,0,0,1,Saint James,51.460284333333334,-2.5947183333333332
50,1,0,0,0,0,Saint James,51.460284333333334,-2.5947183333333332
51,1,0,0,0,0,Saint James,51.460284333333334,-2.5947183333333332
52,0,0,0,0,1,Saint James,51.460284333333334,-2.5947183333333332
53,0,0,1,0,0,Saint James,51.460284333333334,-2.5947183333333332
54,0,0,0,1,0,Saint James,51.460284333333334,-2.5947183333333332
55,1,0,0,0,0,Saint James,51.460284333333334,-2.5947183333333332
56,0,0,0,0,1,Cotham,51.466995714285716,-2.596374071428571
57,0,0,0,0,1,Cotham,51.466995714285716,-2.596374071428571
58,0,0,0,0,1,Montpelier,51.46786662962962,-2.5854882962962966
59,0,0,0,0,1,Redland,51.47012566666667,-2.606286883333333
60,0,0,0,0,1,Clifton,51.45935165909091,-2.614886221590909
61,1,0,0,0,0,Clifton,51.45935165909091,-2.614886221590909
62,1,0,0,0,0,Clifton,51.45935165909091,-2.614886221590909
63,0,0,0,0,1,Clifton,51.45935165909091,-2.614886221590909
64,0,0,0,0,1,Tyndalls Park,51.45812014285715,-2.6068331428571425
65,0,0,0,0,1,Tyndalls Park,51.45812014285715,-2.6068331428571425
66,1,0,0,0,0,Tyndalls Park,51.45812014285715,-2.6068331428571425
67,0,0,0,1,0,Tyndalls Park,51.45812014285715,-2.6068331428571425
68,1,0,0,0,0,Clifton Wood,51.4510975,-2.6097115000000004
69,0,0,0,0,1,Clifton Wood,51.4510975,-2.6097115000000004
70,0,0,0,0,1,Clifton Wood,51.4510975,-2.6097115000000004
71,0,0,0,1,0,Clifton Wood,51.4510975,-2.6097115000000004
72,1,0,0,0,0,Clifton Wood,51.4510975,-2.6097115000000004
73,0,0,0,0,1,Clifton Wood,51.4510975,-2.6097115000000004
74,0,0,0,0,1,Clifton Wood,51.4510975,-2.6097115000000004
75,1,0,0,0,0,Hotwells,51.449275,-2.618631
76,0,0,0,0,1,Hotwells,51.449275,-2.618631
77,0,0,0,0,1,Hotwells,51.449275,-2.618631
