,French Restaurant,Indian Restaurant,Italian Restaurant,New American Restaurant,Tapas Restaurant,locality,Locality Latitude,Locality Longitude,count rest. nationality
0,0,1,0,0,0,Arnos Vale,51.442993736842105,-2.564195684210526,1
1,0,0,0,0,1,Bristol,51.459642637334426,-2.59351473159462,1
2,1,0,0,0,0,Bristol,51.459642637334426,-2.59351473159462,1
3,1,0,0,0,0,Bristol,51.459642637334426,-2.59351473159462,1
4,0,0,0,0,1,Bristol,51.459642637334426,-2.59351473159462,1
5,0,0,1,0,0,Bristol,51.459642637334426,-2.59351473159462,1
6,0,0,0,1,0,Bristol,51.459642637334426,-2.59351473159462,1
7,1,0,0,0,0,Bristol,51.459642637334426,-2.59351473159462,1
8,0,1,0,0,0,Knowle,51.432241000000005,-2.571715407407408,1
9,0,1,0,0,0,Pylle Hill,51.446858666666664,-2.581248,1
10,0,1,0,0,0,Totterdown,51.442449374999995,-2.5779246562499996,1
11,0,0,0,0,1,Saint Andrews,51.4712805,-2.588771666666667,1
12,0,0,0,0,1,Ashton Gate,51.441539000000006,-2.6183325,1
13,0,0,0,0,1,Saint Agnes,51.46643666666666,-2.5781423333333335,1
14,1,0,0,0,0,Saint Judes,51.459824000000005,-2.579508,1
15,1,0,0,0,0,Saint Judes,51.459824000000005,-2.579508,1
16,0,0,0,0,1,Saint Judes,51.459824000000005,-2.579508,1
17,0,0,1,0,0,Saint Judes,51.459824000000005,-2.579508,1
18,0,0,0,0,1,Saint Pauls,51.4630844,-2.581562266666667,1
19,1,0,0,0,0,Saint Pauls,51.4630844,-2.581562266666667,1
20,1,0,0,0,0,Saint Pauls,51.4630844,-2.581562266666667,1
21,0,0,1,0,0,Saint Pauls,51.4630844,-2.581562266666667,1
22,0,0,0,0,1,Southville,51.444152392156866,-2.5987807254901965,1
23,0,0,0,0,1,Southville,51.444152392156866,-2.5987807254901965,1
24,0,0,0,0,1,Saint Augustines,51.454313,-2.599025,1
25,1,0,0,0,0,Saint Augustines,51.454313,-2.599025,1
26,1,0,0,0,0,Saint Augustines,51.454313,-2.599025,1
27,0,0,0,0,1,Saint Augustines,51.454313,-2.599025,1
28,0,0,0,0,1,Saint Augustines,51.454313,-2.599025,1
29,0,0,0,1,0,Saint Augustines,51.454313,-2.599025,1
30,0,0,1,0,0,Saint Augustines,51.454313,-2.599025,1
31,1,0,0,0,0,Saint Augustines,51.454313,-2.599025,1
32,1,0,0,0,0,Redcliffe,51.448510785714284,-2.5876415000000006,1
33,1,0,0,0,0,Redcliffe,51.448510785714284,-2.5876415000000006,1
34,0,0,0,0,1,Redcliffe,51.448510785714284,-2.5876415000000006,1
35,0,0,0,0,1,Redcliffe,51.448510785714284,-2.5876415000000006,1
36,0,0,0,0,1,Redcliffe,51.448510785714284,-2.5876415000000006,1
37,0,0,1,0,0,Redcliffe,51.448510785714284,-2.5876415000000006,1
38,0,0,0,1,0,Redcliffe,51.448510785714284,-2.5876415000000006,1
39,1,0,0,0,0,Temple Meads,51.448915,-2.5818375000000002,1
40,0,0,1,0,0,Temple Meads,51.448915,-2.5818375000000002,1
41,0,0,0,0,1,Kingsdown,51.461792083333336,-2.596508416666667,1
42,1,0,0,0,0,Kingsdown,51.461792083333336,-2.596508416666667,1
43,0,0,0,0,1,Kingsdown,51.461792083333336,-2.596508416666667,1
44,1,0,0,0,0,Kingsdown,51.461792083333336,-2.596508416666667,1
45,0,0,0,0,1,Kingsdown,51.461792083333336,-2.596508416666667,1
46,0,0,1,0,0,Kingsdown,51.461792083333336,-2.596508416666667,1
47,0,0,0,1,0,Kingsdown,51.461792083333336,-2.596508416666667,1
48,1,0,0,0,0,Kingsdown,51.461792083333336,-2.596508416666667,1
49,0,0,0,0,1,Saint James,51.460284333333334,-2.5947183333333332,1
50,1,0,0,0,0,Saint James,51.460284333333334,-2.5947183333333332,1
51,1,0,0,0,0,Saint James,51.460284333333334,-2.5947183333333332,1
52,0,0,0,0,1,Saint James,51.460284333333334,-2.5947183333333332,1
53,0,0,1,0,0,Saint James,51.460284333333334,-2.5947183333333332,1
54,0,0,0,1,0,Saint James,51.460284333333334,-2.5947183333333332,1
55,1,0,0,0,0,Saint James,51.460284333333334,-2.5947183333333332,1
56,0,0,0,0,1,Cotham,51.466995714285716,-2.596374071428571,1
57,0,0,0,0,1,Cotham,51.466995714285716,-2.596374071428571,1
58,0,0,0,0,1,Montpelier,51.46786662962962,-2.5854882962962966,1
59,0,0,0,0,1,Redland,51.47012566666667,-2.606286883333333,1
60,0,0,0,0,1,Clifton,51.45935165909091,-2.614886221590909,1
61,1,0,0,0,0,Clifton,51.45935165909091,-2.614886221590909,1
62,1,0,0,0,0,Clifton,51.45935165909091,-2.614886221590909,1
63,0,0,0,0,1,Clifton,51.45935165909091,-2.614886221590909,1
64,0,0,0,0,1,Tyndalls Park,51.45812014285715,-2.6068331428571425,1
65,0,0,0,0,1,Tyndalls Park,51.45812014285715,-2.6068331428571425,1
66,1,0,0,0,0,Tyndalls Park,51.45812014285715,-2.6068331428571425,1
67,0,0,0,1,0,Tyndalls Park,51.45812014285715,-2.6068331428571425,1
68,1,0,0,0,0,Clifton Wood,51.4510975,-2.6097115000000004,1
69,0,0,0,0,1,Clifton Wood,51.4510975,-2.6097115000000004,1
70,0,0,0,0,1,Clifton Wood,51.4510975,-2.6097115000000004,1
71,0,0,0,1,0,Clifton Wood,51.4510975,-2.6097115000000004,1
72,1,0,0,0,0,Clifton Wood,51.4510975,-2.6097115000000004,1
73,0,0,0,0,1,Clifton Wood,51.4510975,-2.6097115000000004,1
74,0,0,0,0,1,Clifton Wood,51.4510975,-2.6097115000000004,1
75,1,0,0,0,0,Hotwells,51.449275,-2.618631,1
76,0,0,0,0,1,Hotwells,51.449275,-2.618631,1
77,0,0,0,0,1,Hotwells,51.449275,-2.618631,1
